gene,annotation,ensembl_gene_id,depmap,trct_ab,trct_sm,trct_om,lit_egfr,lit_nsclc,lit_egfr_norm,lit_nsclc_norm,lit_total,L2_egfr,L2_nsclc,n_neighbours,n_edges,degree,pagerank,betweenness,full_screen,KO_osi,KO_gefi,KO_all,A_osi,A_gefi,A_all,clin_ES1,clin_ES2,clin_ES3,RNAseq_adjpval,RNAseq_LFC
FZD9,frizzled class receptor 9,ENSG00000188763,nonessential,5,0,0,0,0,0.00,0.00,396,26.2,17.1,646,957,6,0.525682113,3313.161811,2,0,0,0,1,1,2,0,0,0,8.59E-06,-1.8
GADD45B,growth arrest and DNA damage inducible beta,ENSG00000099860,nonessential,0,0,0,0,0,0.00,0.00,1145,38.1,23.5,1500,2378,19,0.855901271,2983.70199,1,0,0,0,1,0,1,0,0,0,1.11E-06,1.3
GAGE1,G antigen 1,ENSG00000205777,unknown,1,0,0,0,0,0.00,0.00,39,26.6,16.6,95,122,3,0.308107505,1817.458803,1,0,0,0,1,0,1,0,0,0,1,0
GAS8,growth arrest specific 8,ENSG00000141013,nonessential,2,0,0,0,0,0.00,0.00,74,24.7,22.1,317,365,4,0.302238877,28.23834158,1,0,0,0,1,0,1,0,0,0,1.26E-05,0.5
GATAD2A,GATA zinc finger domain containing 2A,ENSG00000167491,nonessential,0,0,0,0,0,0.00,0.00,124,27.5,15.5,654,828,36,1.231182118,3176.208086,1,0,0,0,1,0,1,0,0,0,1.56E-06,-0.4
GCA,grancalcin,ENSG00000115271,nonessential,5,5,0,0,0,0.00,0.00,799,33.4,17.7,407,492,5,0.406674411,221.9452751,1,0,0,0,1,0,1,0,0,0,1,0
GCFC2,GC-rich sequence DNA-binding factor 2,ENSG00000005436,nonessential,0,0,0,0,0,0.00,0.00,51,27.4,17.2,469,535,5,0.364193394,280.2966003,2,0,0,0,1,1,2,0,0,0,6.93E-07,-0.7
GCKR,glucokinase regulator,ENSG00000084734,nonessential,0,6,0,0,0,0.00,0.00,754,34,19.4,2098,2766,4,0.343919635,4134.1062,1,0,0,0,1,0,1,0,0,0,1,0
GCM1,glial cells missing homolog 1,ENSG00000137270,nonessential,0,0,0,0,0,0.00,0.00,308,30.4,19.9,409,733,12,0.599539548,2754.06374,1,0,0,0,1,0,1,0,0,0,1,0
GFPT2,glutamine-fructose-6-phosphate transaminase 2,ENSG00000131459,nonessential,0,0,0,0,0,0.00,0.00,123,23.4,14.4,539,633,2,0.245129674,0,1,0,0,0,1,0,1,0,0,0,1,0
GGNBP2,gametogenetin binding protein 2,ENSG00000275099,nonessential,0,0,0,0,0,0.00,0.00,101,22.1,19.6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
GGNBP2,gametogenetin binding protein 2,ENSG00000278311,unknown,0,0,0,0,0,0.00,0.00,101,52.9,49.7,323,397,2,0.287375893,5726.843708,1,0,0,0,0,1,1,0,0,0,1,0
GHR,growth hormone receptor,ENSG00000112964,nonessential,5,0,9,0,0,0.00,0.00,6799,17.4,18.6,2182,3710,42,1.924119374,39446.9234,2,0,0,0,1,1,2,0,0,0,1,0
GJB3,gap junction protein beta 3,ENSG00000188910,nonessential,4,0,0,0,0,0.00,0.00,456,29.5,19.9,399,559,4,0.341879776,2732.247687,2,0,0,0,1,1,2,0,0,0,0.00826255,-0.8
GLI3,GLI family zinc finger 3,ENSG00000106571,nonessential,0,0,0,0,0,0.00,0.00,2269,29.3,22,1923,2864,22,1.225362248,51473.82823,1,0,0,0,1,0,1,0,0,0,1,0
GLMN,"glomulin, FKBP associated protein",ENSG00000174842,essential,0,0,0,0,0,0.00,0.00,123,19.1,14.9,465,667,10,0.552318965,380.8409467,1,0,0,0,1,0,1,0,0,0,3.97E-05,-0.7
GLUD1,glutamate dehydrogenase 1,ENSG00000148672,nonessential,0,4,0,0,0,0.00,0.00,855,25.2,17.8,1073,1436,17,0.912450851,28356.89501,1,0,0,0,0,1,1,0,0,0,1,0
GNAQ,G protein subunit alpha q,ENSG00000156052,nonessential,6,0,0,0,0,0.00,0.00,2443,27.8,22.1,1883,3305,49,3.12961805,198811.9682,2,0,0,0,1,1,2,0,0,0,3.41E-05,0.6
GNB2,G protein subunit beta 2,ENSG00000172354,nonessential,5,0,0,0,0,0.00,0.00,104,25.1,14.7,995,1259,51,2.135543925,33394.91837,2,0,0,0,1,1,2,0,0,0,1,0
GNG13,G protein subunit gamma 13,ENSG00000127588,nonessential,6,0,0,0,0,0.00,0.00,60,28.7,18.4,465,525,21,1.073200021,1741.223284,1,0,0,0,1,0,1,0,0,0,1,0
GNL3L,G protein nucleolar 3 like,ENSG00000130119,essential,0,0,0,0,0,0.00,0.00,117,28.8,18.4,415,528,7,0.457761448,3071.367807,1,0,0,0,1,0,1,0,0,0,1.09E-05,-0.7
GOLGA1,golgin A1,ENSG00000136935,nonessential,6,0,0,0,0,0.00,0.00,250,23.7,19.5,315,381,9,0.552658807,493.7730189,1,0,0,0,1,0,1,0,0,0,1.80E-05,0.4
GPBP1L1,GC-rich promoter binding protein 1 like 1,ENSG00000159592,nonessential,1,0,0,0,0,0.00,0.00,10,25,23.5,245,310,3,0.263428168,31.69709389,2,1,0,1,0,1,1,0,0,0,0.001293853,0.3
GPR107,G protein-coupled receptor 107,ENSG00000148358,nonessential,4,0,0,0,0,0.00,0.00,52,28.9,15.8,242,265,1,0.209855231,0,2,0,0,0,2,0,2,0,0,0,2.64E-09,0.5
GPR123,NA,ENSG00000197177,nonessential,3,0,0,0,0,0.00,0.00,0,27.4,15.7,252,275,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
GPR126,NA,ENSG00000112414,nonessential,6,0,0,0,0,0.00,0.00,0,26.1,16.7,675,816,1,0.209855231,0,2,0,0,0,1,1,2,0,0,0,1,0
GPR27,G protein-coupled receptor 27,ENSG00000170837,nonessential,5,2,0,0,0,0.00,0.00,102,30.1,17.5,215,251,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
GPR65,G protein-coupled receptor 65,ENSG00000140030,nonessential,5,2,0,0,0,0.00,0.00,229,23,18.3,610,792,0,0.15,0,1,0,0,0,0,1,1,0,0,0,0.003464008,-1.4
GPRIN2,G protein regulated inducer of neurite outgrowth 2,ENSG00000204175,nonessential,0,0,0,0,0,0.00,0.00,21,25.6,16.3,185,227,11,0.609528653,2126.45708,1,0,0,0,1,0,1,0,0,0,9.89E-11,1.6
GRAMD1A,GRAM domain containing 1A,ENSG00000089351,nonessential,6,0,0,0,0,0.00,0.00,15,22.5,18.4,232,287,2,0.350768431,151.7339859,2,0,0,0,1,1,2,0,0,0,2.76E-13,0.9
GREB1,growth regulation by estrogen in breast cancer 1,ENSG00000196208,nonessential,3,0,0,0,0,0.00,0.00,452,28.4,17.4,748,939,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
GREB1L,growth regulation by estrogen in breast cancer 1 like,ENSG00000141449,nonessential,3,0,0,0,0,0.00,0.00,51,26.5,20.7,274,298,1,0.192824935,0,2,0,0,0,2,0,2,0,0,0,3.17E-04,-0.6
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,nonessential,6,9,8,0,0,0.00,0.00,2467,23.3,21.3,6897,8269,64,2.793796659,33660.84159,1,0,0,0,1,0,1,0,0,0,1,0
GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1,ENSG00000178719,nonessential,3,0,0,0,0,0.00,0.00,84,28.7,17.9,356,416,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1.86E-11,0.6
GRSF1,G-rich RNA sequence binding factor 1,ENSG00000132463,essential,0,0,0,0,0,0.00,0.00,97,27.2,17.2,480,587,9,0.484884221,92.38193528,1,0,0,0,1,0,1,0,0,0,2.28E-06,-0.4
GSS,glutathione synthetase,ENSG00000100983,nonessential,0,6,0,0,0,0.00,0.00,1892,33.9,21.4,1402,2122,5,0.372460608,306.9871527,1,0,0,0,1,0,1,0,0,0,1,0
GSTA5,glutathione S-transferase alpha 5,ENSG00000182793,nonessential,0,0,0,0,0,0.00,0.00,106,18,15.2,331,414,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
GTPBP10,GTP binding protein 10,ENSG00000105793,nonessential,0,0,0,0,0,0.00,0.00,22,26.9,17.4,180,207,7,0.445466003,1157.23017,1,0,0,0,1,0,1,0,0,0,2.08E-06,-0.4
GTPBP3,GTP binding protein 3 (mitochondrial),ENSG00000130299,nonessential,0,0,0,0,0,0.00,0.00,54,30.8,21.5,278,325,10,0.614778791,5464.042906,1,0,0,0,0,1,1,0,0,0,1,0
GTSF1,gametocyte specific factor 1,ENSG00000170627,nonessential,0,0,0,0,0,0.00,0.00,74,30.3,18.7,152,181,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,1,0
GYS1,glycogen synthase 1,ENSG00000104812,nonessential,0,3,0,0,0,0.00,0.00,403,33,23.6,1185,1480,31,1.43118774,18847.30812,1,0,0,0,1,0,1,0,0,0,1,0
GZMH,granzyme H,ENSG00000100450,nonessential,3,0,0,0,0,0.00,0.00,204,28.9,18.6,267,368,1,0.185979986,0,1,0,0,0,1,0,1,0,0,0,1,0
H2AFY2,NA,ENSG00000099284,unknown,0,0,0,0,0,0.00,0.00,0,22,18.9,402,549,7,0.410855698,51.35535155,1,0,0,0,1,0,1,0,0,0,1,0
H2AFZ,NA,ENSG00000164032,unknown,0,0,0,0,0,0.00,0.00,0,24.4,15.8,3463,3923,42,1.50038385,616.4951634,1,0,0,0,0,1,1,0,0,0,2.56E-20,-1.8
HAS2,hyaluronan synthase 2,ENSG00000170961,nonessential,3,0,0,0,0,0.00,0.00,761,26.8,20.9,1097,1752,0,0.15,0,4,0,0,0,2,2,4,0,0,0,4.57E-04,-2.1
HAUS5,HAUS augmin like complex subunit 5,ENSG00000249115,essential,0,0,0,0,0,0.00,0.00,17,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2.93E-04,-0.6
HAVCR1,hepatitis A virus cellular receptor 1,ENSG00000113249,nonessential,3,0,0,0,0,0.00,0.00,2269,38.1,27.5,1102,1880,2,0.279766419,285.4533382,1,0,0,0,1,0,1,0,0,0,1,0
HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,ENSG00000099822,nonessential,6,6,0,0,0,0.00,0.00,764,31.1,24.6,742,881,7,0.566025555,5636.967526,1,0,0,0,1,0,1,0,0,0,1,0
HEATR3,HEAT repeat containing 3,ENSG00000155393,nonessential,0,0,0,0,0,0.00,0.00,20,25.1,18.3,229,263,6,0.393465273,187.0101696,1,0,0,0,0,1,1,0,0,0,1.30E-08,-0.8
HERPUD2,HERPUD family member 2,ENSG00000122557,nonessential,3,0,0,0,0,0.00,0.00,10,25.9,20.2,190,210,0,0.15,0,1,0,0,0,1,0,1,0,0,0,5.70E-05,0.3
HEY2,hes related family bHLH transcription factor with YRPW motif 2,ENSG00000135547,nonessential,0,0,0,0,0,0.00,0.00,1146,24.1,22.3,1186,1767,15,0.705218921,1650.572666,1,0,0,0,1,0,1,0,0,0,1,0
HHEX,hematopoietically expressed homeobox,ENSG00000152804,nonessential,0,0,0,0,0,0.00,0.00,824,35.9,22.3,1097,1720,17,0.890521079,10689.25921,2,0,0,0,1,1,2,0,0,0,7.35E-06,-1.6
HIF1AN,hypoxia inducible factor 1 alpha subunit inhibitor,ENSG00000166135,nonessential,0,6,0,0,0,0.00,0.00,459,21.4,13.1,986,1341,19,0.960819772,17879.13919,1,0,0,0,0,1,1,0,0,0,0.002455576,0.3
HIPK2,homeodomain interacting protein kinase 2,ENSG00000064393,unknown,0,6,0,0,0,0.00,0.00,780,25.9,21.4,3683,4585,45,1.972756642,13457.18758,1,0,0,0,0,1,1,0,0,0,0.003866755,-0.4
HIST1H1C,NA,ENSG00000187837,unknown,0,0,0,0,0,0.00,0.00,0,26.3,18.5,911,1167,41,1.700811773,33058.19914,1,0,0,0,1,0,1,0,0,0,1,0
HIST1H2BF,NA,ENSG00000277224,unknown,0,6,0,0,0,0.00,0.00,0,22.8,14.7,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,1,0
HIST1H2BJ,NA,ENSG00000124635,unknown,5,6,0,0,0,0.00,0.00,0,20.8,17,494,545,9,0.49635652,4259.040215,1,0,0,0,0,1,1,0,0,0,7.85E-04,-0.9
HIST1H3B,NA,ENSG00000274267,unknown,0,0,0,0,0,0.00,0.00,0,25.3,21.7,47,47,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
HIST2H2BF,NA,ENSG00000203814,unknown,0,0,0,0,0,0.00,0.00,0,28.4,20.3,195,212,5,0.344974763,18.03615058,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000206503,nonessential,6,6,0,0,0,0.00,0.00,14997,52.9,49.7,3191,5181,43,2.162441465,55559.70008,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000206505,unknown,0,0,0,0,0,0.00,0.00,14997,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000223980,unknown,0,0,0,0,0,0.00,0.00,14997,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000224320,unknown,0,0,0,0,0,0.00,0.00,14997,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000227715,unknown,0,0,0,0,0,0.00,0.00,14997,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000229215,unknown,0,0,0,0,0,0.00,0.00,14997,33.8,28.6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000231834,unknown,0,0,0,0,0,0.00,0.00,14997,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HLA-A,"major histocompatibility complex, class I, A",ENSG00000235657,unknown,0,0,0,0,0,0.00,0.00,14997,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HMGN4,high mobility group nucleosomal binding domain 4,ENSG00000182952,nonessential,0,0,0,0,0,0.00,0.00,18,25.3,14.1,274,291,4,0.31513044,130.0174011,1,0,0,0,0,1,1,0,0,0,1,0
HMOX1,heme oxygenase 1,ENSG00000100292,nonessential,6,6,0,2,0,0.02,0.00,12784,42.3,31.5,6026,12397,14,0.786846127,4376.206421,1,0,0,0,1,0,1,0,0,0,1,0
HNRNPA1L2,heterogeneous nuclear ribonucleoprotein A1-like 2,ENSG00000139675,nonessential,0,0,0,0,0,0.00,0.00,13,20.3,17.3,166,179,2,0.242800568,0,1,0,0,0,0,1,1,0,0,0,1,0
HNRNPH2,heterogeneous nuclear ribonucleoprotein H2,ENSG00000126945,nonessential,0,0,0,0,0,0.00,0.00,95,22.7,12.8,683,836,114,3.154313083,11112.00173,1,0,0,0,0,1,1,0,0,0,1,0
HNRNPH3,heterogeneous nuclear ribonucleoprotein H3,ENSG00000096746,nonessential,0,0,0,0,0,0.00,0.00,72,27.2,15.1,555,694,16,0.749136398,965.6243135,1,0,0,0,0,1,1,0,0,0,1.21E-14,-0.9
HOXA2,homeobox A2,ENSG00000105996,nonessential,0,0,0,0,0,0.00,0.00,583,25.9,16.3,1114,1385,2,0.249031848,176.6092393,1,0,0,0,0,1,1,0,0,0,1,0
HPCAL4,hippocalcin like 4,ENSG00000116983,nonessential,0,0,0,0,0,0.00,0.00,38,30.4,18,231,299,5,0.419059177,67.64172255,2,0,0,0,1,1,2,0,0,0,0.001285932,-1.4
HRC,histidine rich calcium binding protein,ENSG00000130528,nonessential,3,0,0,0,0,0.00,0.00,206,27.8,19.7,434,584,2,0.277002047,749.9920107,1,0,0,0,1,0,1,0,0,0,1,0
HS3ST5,heparan sulfate-glucosamine 3-sulfotransferase 5,ENSG00000249853,nonessential,3,6,0,0,0,0.00,0.00,46,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1.72E-04,2.4
HSPB9,heat shock protein family B (small) member 9,ENSG00000260325,nonessential,0,0,0,0,0,0.00,0.00,57,27.1,17.8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
HTRA3,HtrA serine peptidase 3,ENSG00000170801,nonessential,6,0,0,0,0,0.00,0.00,119,25.9,20.6,410,537,0,0.15,0,1,0,0,0,0,1,1,0,0,0,0.002013521,1.7
ICAM5,intercellular adhesion molecule 5,ENSG00000105376,nonessential,5,0,0,0,0,0.00,0.00,279,33.3,21.5,435,616,4,0.323556595,37.40963313,3,0,0,0,2,1,3,0,0,0,2.31E-07,1.2
ID1,"inhibitor of DNA binding 1, HLH protein",ENSG00000125968,nonessential,0,0,0,0,0,0.00,0.00,768,21.1,15.6,1363,1988,24,1.135782944,13414.5854,2,0,0,0,1,1,2,0,0,0,1,0
IDI2,isopentenyl-diphosphate delta isomerase 2,ENSG00000148377,nonessential,0,0,0,0,0,0.00,0.00,30,28.5,19.3,137,174,2,0.254077063,0,2,0,0,0,1,1,2,0,0,0,1,0
IFNAR2,interferon alpha and beta receptor subunit 2,ENSG00000159110,nonessential,6,4,9,0,0,0.00,0.00,1157,23.1,20.2,901,1331,23,1.525335448,45277.68402,2,0,0,0,1,1,2,0,0,0,1,0
IGF1R,insulin like growth factor 1 receptor,ENSG00000140443,nonessential,8,8,9,0,3,0.00,0.02,16931,14.4,18,22899,30045,72,3.310399103,160835.6774,1,0,0,0,1,0,1,0.5,0,0.33,1,0
IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,ENSG00000136231,nonessential,0,0,0,0,0,0.00,0.00,696,26.2,16.3,3565,4081,115,2.921520284,10714.7073,1,0,0,0,1,0,1,0,0,0,1,0
IGLON5,IgLON family member 5,ENSG00000142549,nonessential,6,0,0,0,0,0.00,0.00,154,29.4,19.1,203,244,13,0.919060046,4036.597532,1,0,0,0,1,0,1,0,0,0,1,0
IGSF8,immunoglobulin superfamily member 8,ENSG00000162729,nonessential,4,0,0,0,0,0.00,0.00,155,23.5,16.7,568,724,12,0.690358704,14303.3176,3,0,0,0,1,2,3,0,0,0,2.97E-11,0.7
IL10RB,interleukin 10 receptor subunit beta,ENSG00000243646,nonessential,5,0,8,0,0,0.00,0.00,1090,32,20.1,773,1214,8,1.251541016,158901.6972,1,0,0,0,1,0,1,0,0,0,4.57E-08,0.6
IL11RA,interleukin 11 receptor subunit alpha,ENSG00000137070,nonessential,5,0,9,0,0,0.00,0.00,277,24.7,20.3,458,638,3,0.299090724,167.2412633,1,0,0,0,1,0,1,0,0,0,7.42E-10,1.2
IL31RA,interleukin 31 receptor A,ENSG00000164509,nonessential,6,0,0,0,0,0.00,0.00,298,29.7,19.6,483,661,2,0.250589604,0,1,0,0,0,1,0,1,0,0,0,1,0
IL32,interleukin 32,ENSG00000008517,nonessential,6,0,0,0,0,0.00,0.00,1631,28.5,23.3,974,1664,2,0.263476659,1698.938594,1,0,0,0,1,0,1,0,0,0,0.002326941,1.2
IL36B,"interleukin 36, beta",ENSG00000136696,nonessential,6,0,0,0,0,0.00,0.00,310,30.1,19.4,313,489,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
IL9R,interleukin 9 receptor,ENSG00000124334,nonessential,5,0,0,0,0,0.00,0.00,438,32.7,23.3,376,611,6,0.44871818,5491.430392,1,0,0,0,1,0,1,0,0,0,4.35E-04,-2
INPP4A,inositol polyphosphate-4-phosphatase type I A,ENSG00000040933,nonessential,6,0,0,0,1,0.00,0.69,143,22.9,20.8,420,502,4,0.326669389,70.2275833,2,1,0,1,1,0,1,0,0,0,8.67E-05,0.6
INSL3,insulin like 3,ENSG00000248099,nonessential,5,0,0,0,0,0.00,0.00,695,20.8,16.7,633,1008,1,0.542914502,0,1,0,0,0,1,0,1,0,0,0,1,0
INSL6,insulin like 6,ENSG00000120210,nonessential,4,0,0,0,0,0.00,0.00,104,26.3,18.1,254,340,1,0.189467816,0,2,0,0,0,1,1,2,0,0,0,1,0
IPO4,importin 4,ENSG00000196497,nonessential,0,0,0,0,0,0.00,0.00,62,52.9,49.7,554,677,72,2.326929753,11159.61343,1,0,0,0,1,0,1,0,0,0,3.72E-09,-0.9
IQCF3,IQ motif containing F3,ENSG00000229972,nonessential,0,0,0,0,0,0.00,0.00,1,26.2,21,95,97,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
IRS4,insulin receptor substrate 4,ENSG00000133124,nonessential,6,0,0,0,0,0.00,0.00,277,52.9,49.7,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
IST1,"IST1, ESCRT-III associated factor",ENSG00000182149,nonessential,5,0,0,0,0,0.00,0.00,46,25.5,19,462,574,10,0.638360625,6896.710052,2,0,0,0,1,1,2,0,0,0,1.79E-09,0.4
ISX,intestine specific homeobox,ENSG00000175329,nonessential,0,0,0,0,0,0.00,0.00,96,24.7,14.8,343,404,3,0.279287993,0,2,0,1,1,1,0,1,0,0,0,1,0
ITGAV,integrin subunit alpha V,ENSG00000138448,nonessential,9,6,8,0,0,0.00,0.00,1414,25.7,21,5216,6671,39,2.005936187,7223.631444,2,0,0,0,1,1,2,0,0,0,1,0
ITGB4,integrin subunit beta 4,ENSG00000132470,nonessential,5,4,0,0,0,0.00,0.00,1914,24.6,18.7,1491,2542,31,1.478133305,28082.45647,2,0,0,0,1,1,2,0,0,0,4.86E-04,0.8
ITIH3,inter-alpha-trypsin inhibitor heavy chain 3,ENSG00000162267,nonessential,5,0,0,0,0,0.00,0.00,157,25.8,17,510,624,2,0.259349678,39.51084472,1,0,0,0,1,0,1,0,0,0,1,0
ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5,ENSG00000123243,unknown,4,0,0,0,0,0.00,0.00,125,23.4,19.1,462,521,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
ITLN2,intelectin 2,ENSG00000158764,nonessential,6,0,0,0,0,0.00,0.00,94,23.4,15,135,161,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
ITM2C,integral membrane protein 2C,ENSG00000135916,nonessential,6,0,0,0,0,0.00,0.00,85,25.5,14.1,410,462,9,0.6213957,6672.096012,1,0,0,0,0,1,1,0,0,0,0.009750414,0.4
JADE3,jade family PHD finger 3,ENSG00000102221,nonessential,0,0,0,0,0,0.00,0.00,20,25.4,17.6,237,272,2,0.227522599,15.91634398,1,0,0,0,1,0,1,0,0,0,1,0
JAG1,jagged 1,ENSG00000101384,nonessential,5,6,0,0,0,0.00,0.00,4914,19.5,16,2459,4250,11,0.712358278,14469.86436,2,0,0,0,1,1,2,0,0,0,1,0
JAKMIP3,Janus kinase and microtubule interacting protein 3,ENSG00000188385,nonessential,0,0,0,0,0,0.00,0.00,16,24.5,22.4,268,288,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",ENSG00000177606,nonessential,0,3,0,2,0,0.01,0.00,37484,31.2,22,8756,18353,347,14.61450977,909332.7232,1,0,0,0,1,0,1,0,0,0,1,0
KALRN,kalirin RhoGEF kinase,ENSG00000160145,nonessential,0,6,0,0,0,0.00,0.00,344,31.2,21.6,967,1278,20,0.938466707,4197.370617,1,0,0,0,0,1,1,0,0,0,5.17E-04,-1
KBTBD4,kelch repeat and BTB domain containing 4,ENSG00000123444,nonessential,0,0,0,0,0,0.00,0.00,20,52.9,49.7,222,252,6,0.403226834,1376.17568,2,0,0,0,1,1,2,0,0,0,1,0
KCNB1,potassium voltage-gated channel subfamily B member 1,ENSG00000158445,nonessential,6,9,0,0,0,0.00,0.00,890,31.7,25,1276,1836,15,1.495196324,120485.6194,1,0,0,0,1,0,1,0,0,0,1,0
KCNIP3,potassium voltage-gated channel interacting protein 3,ENSG00000115041,nonessential,6,4,0,0,0,0.00,0.00,191,29.2,18.8,453,667,18,0.913230217,12284.30556,1,0,0,0,1,0,1,0,0,0,1,0
KCNK10,potassium two pore domain channel subfamily K member 10,ENSG00000100433,nonessential,5,9,0,0,0,0.00,0.00,184,27.9,19.7,533,698,2,0.260983042,0,1,0,0,0,0,1,1,0,0,0,1,0
KCNK9,potassium two pore domain channel subfamily K member 9,ENSG00000169427,nonessential,6,9,0,0,0,0.00,0.00,324,32.5,23.8,1061,1248,7,0.395429259,15.87763862,1,0,0,0,0,1,1,0,0,0,1,0
KCP,kielin/chordin-like protein,ENSG00000135253,unknown,4,0,0,0,0,0.00,0.00,65,27.1,22.2,165,226,0,0.15,0,1,0,0,0,1,0,1,0,0,0,7.75E-10,2.1
KDM5A,lysine demethylase 5A,ENSG00000073614,nonessential,0,6,0,0,0,0.00,0.00,622,27.1,16.5,2465,2911,16,0.717852611,1392.059163,1,0,0,0,1,0,1,0.4,0,0.46,8.08E-04,0.4
KDR,kinase insert domain receptor,ENSG00000128052,nonessential,9,9,8,5,0,0.02,0.00,23464,26,28.5,62389,75682,53,2.40869876,86107.57442,5,0,0,0,3,2,5,0.43,0,0,1,0
KHNYN,KH and NYN domain containing,ENSG00000100441,nonessential,0,0,0,0,0,0.00,0.00,23,26.2,20.6,229,257,2,0.246800552,0,1,0,0,0,1,0,1,0,0,0,2.40E-14,0.9
KHSRP,KH-type splicing regulatory protein,ENSG00000088247,nonessential,0,0,0,0,0,0.00,0.00,519,17.6,15.6,923,1408,43,1.664465259,19673.54052,1,0,0,0,1,0,1,0,0,0,1.07E-12,-0.6
KIAA0040,KIAA0040,ENSG00000235750,unknown,3,0,0,0,0,0.00,0.00,20,24.7,19.8,135,157,2,0.236921482,26.43173028,3,0,0,0,2,1,3,0,0,0,1,0
KIAA0368,NA,ENSG00000136813,nonessential,0,0,0,0,0,0.00,0.00,0,25.4,19.7,570,754,36,1.734678639,12535.13764,1,0,0,0,1,0,1,0,0,0,0.001425988,-0.3
KIAA0895,KIAA0895,ENSG00000164542,nonessential,1,0,0,0,0,0.00,0.00,2,31.4,26.4,149,159,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
KIAA0922,NA,ENSG00000121210,nonessential,6,0,0,0,0,0.00,0.00,0,24.4,18.8,354,383,0,0.15,0,2,0,0,0,1,1,2,0,0,0,1,0
KIAA1211L,KIAA1211 like,ENSG00000196872,nonessential,0,0,0,0,0,0.00,0.00,0,29.2,23.2,177,194,0,0.15,0,2,0,1,1,0,1,1,0,0,0,4.24E-05,1.1
KIAA1324L,KIAA1324 like,ENSG00000164659,nonessential,3,0,0,0,0,0.00,0.00,0,25.3,22.7,255,269,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
KIAA1841,KIAA1841,ENSG00000162929,nonessential,0,0,0,0,0,0.00,0.00,11,25.8,18.7,182,198,1,0.195628744,0,1,0,0,0,1,0,1,0,0,0,1,0
KIF13A,kinesin family member 13A,ENSG00000137177,nonessential,4,0,0,0,0,0.00,0.00,102,28.8,19.2,549,641,12,0.662869821,2460.38537,1,0,0,0,0,1,1,0,0,0,2.25E-06,0.4
KIF13B,kinesin family member 13B,ENSG00000197892,nonessential,0,6,0,0,0,0.00,0.00,138,26.3,18.7,529,649,8,0.485959232,1479.886099,2,0,0,0,1,1,2,0,0,0,6.07E-08,0.8
KIF14,kinesin family member 14,ENSG00000118193,essential,5,0,0,0,0,0.00,0.00,265,22.9,18.7,885,1086,6,0.38778334,511.9872556,1,0,0,0,1,0,1,0,0,0,5.78E-15,-2.2
KIF20A,kinesin family member 20A,ENSG00000112984,essential,0,3,0,0,0,0.00,0.00,433,20.3,15.4,1241,1573,9,0.581126021,6269.199646,1,0,0,0,0,1,1,0,0,0,1.91E-07,-1.4
